@@,name,position
->,Ogerta Manastirliu,Minister of Health and Social Protection->Minister of Health and Social Welfare
->,Milva Ekonomi,Minister of Agriculture and Rural Development->Minister of State for Services Standards
->,Evis Kushi,Minister of Education Sport and Youth->Minister of Education and Sports
->,Etilda Gjonaj->Ulsi Manja,Minister of Justice
->,Eduard Shalsi->Edona Bilali,Minister of State for Entrepreneurship Protection
->,Edi Rama,PRIME MINISTER->Prime Minister
->,Blendi Klosi->Mirela Kumbaro,Minister of Tourism and Environment
->,Arben Ahmetaj,Minister of State for Reconstruction->Deputy PM and Minister of State for Reconstruction and Reforms’ Program
->,Anila Denaj->Delina Ibrahimaj,Minister of Finance and Economy
---,Pandeli Majko,Minister of State for Diaspora
---,Erion Braçe,Deputy Prime Minister
---,Bledi Çuçi,Minister of Interior
+++,Frida Krifca,Minister of Agriculture and Rural Development
+++,Bora Muzhaqi,Minister of State for Youth and Children
+++,Bledar Çuçi,Minister of Interior Affairs
