item,itemLabel,startDate,endDate,sourceDate,psid
Q13042223,Luan Hajdaraga,1998-04-24,2000-07-08,,Q13042223-F63D9DEF-9CB8-4539-BEDF-F92404DA0110
Q13040130,Ilir Gjoni,2000-07-08,2000-11-09,,Q13040130-081D474D-0C77-499F-A18F-A106F744211A
Q13040243,Ismail Lleshi,2000-11-09,2001-09-06,,Q13040243-40660285-9543-44BC-A824-6515A46DAB1B
Q381214,Pandeli Majko,2001-09-06,2002-01-29,,Q381214-BF5FCC8F-CFFC-45D7-8717-8DCD9DDD393C
Q16363070,Luan Rama,2002-02-22,2002-07-25,,Q16363070-AE467BCC-AC51-432A-9397-C80E8CCB3051
Q381214,Pandeli Majko,2002-07-29,2005-09-10,,Q381214-3BC5E37D-CA53-436D-A9A5-506885F8CE1D
Q983272,Fatmir Mediu,2005-09-11,2008-03-21,,Q983272-56B4B854-9E0C-45C2-97B6-F13BD03D89CF
Q531457,Gazmend Oketa,2008-03-28,2009-09-17,,Q531457-84008897-0C72-4E82-8FFC-D8133632D34A
Q531489,Arben Imami,2009-09-17,2013-09-15,,Q531489-7004DBB5-1F9A-46D6-A849-6B730FB4FEB7
Q16855243,Mimi Kodheli,2013-09-15,2017-09-13,,Q16855243-E2CC285A-E8CC-4A8A-88DF-9A39286DE77B
Q13043722,Olta Xhaçka,2017-09-13,2020-12-31,,Q13043722-4F38AC7C-9357-47BD-82E6-C419604E0346
Q13043483,Niko Peleshi,2020-12-31,,,Q13043483-217E04FB-3B62-481F-8526-3D0A23F98202
